unit_id,insurer,document_label,source_file,page,question_text,auto_codes,coder1_final,coder2_final,consensus_code,notes
149,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,3,Is MFA required for access to email? Yes No No web-based email Funds Transfer Controls Do the applicants all have a dual authentication protocol for confirming all funds transfer requests or account information changes from a vendor/partner through a secondary method of communication Yes No before the account information is changed or a funds transfer request is carried out?,Funds Transfer and Social Engineering Controls; Multi-Factor Authentication,NA,NA,NA,NA
40,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,"28. a. Do you have a Security Operations Center (SOC)? No Yes, working hours only Yes,",Security Monitoring and Operations,NA,NA,NA,NA
93,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,"If Yes, is the Applicant PCI compliant? (via assessment or self-attestation)",Compliance and Legal Review; Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
122,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,"4 Does Named Insured collect, process, store, transmit, or have access to any Payment Card Information (PCI), Personally NO YES Identifiable Information (PII), or Protected Health Information (PHI) other than employees of Named Insured?",Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
151,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,3,"If yes, is the funds transfer instruction validated by a method other than the original means of request? Yes No For example, if the request is made by email, a follow up phone call is made to confirm that the supplier or vendor made the original request.",Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
66,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,2,a) How is content disseminated? TV % Radio % Web % Books % Magazines % Newspapers % Other (please specify) __________________________________________________________________________ % TOTAL:* %,REVIEW_NEEDED,NA,NA,NA,NA
123,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,"4a (If Yes) What is the estimated annual volume of payment card transactions (credit cards, debit cards, etc.)?",Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
48,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,34. What percentage of the enterprise is covered by scheduled vulnerability scans? ____%,Vulnerability Scanning and Testing,NA,NA,NA,NA
108,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,2,"6b Virtual Private Network (VPN), Remote Desktop Protocol (RDP), RDWeb, NO YES N/A: NO REMOTE ACCESS ALLOWED RD Gateway, or other remote access",Endpoint and Network Protection,NA,NA,NA,NA
87,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,2) Encryption of Sensitive Data,Encryption and Data Protection,NA,NA,NA,NA
41,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,"b. If “Yes” to a., is your SOC internal or managed by a third party?",Security Monitoring and Operations,NA,NA,NA,NA
