unit_id,insurer,document_label,source_file,page,question_text,auto_codes,coder1_final,coder2_final,consensus_code,notes
20,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,15. a. Do you use a Privileged Access Management (PAM) tool?,Password and Privileged Access Management,NA,NA,NA,NA
21,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,"b. If “Yes” to a., are all privileged accounts managed with a PAM tool? No Yes Unsupported & End of Life Software",Password and Privileged Access Management,NA,NA,NA,NA
22,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,16. Do you use an asset discovery tool that continuously maps devices on your internal network?,Asset and Configuration Management,NA,NA,NA,NA
23,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,17. Do you have an up-to-date asset database?,Asset and Configuration Management,NA,NA,NA,NA
24,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,18. Do you have an up-to-date configuration management database (CMDB)?,Asset and Configuration Management,NA,NA,NA,NA
25,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,"c. If “Yes” to a., do you purchase additional support for the software, where available? No Yes Service Accounts",Unsupported Software and Patch Management,NA,NA,NA,NA
26,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,20. How many service accounts with domain administrator privileges are in your IT environment? “Service accounts”,REVIEW_NEEDED,NA,NA,NA,NA
27,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,"are non-human privileged accounts used to execute applications, access local and network resources, and run automated services, virtual machine instances, and other processes. >10 6-10 1-5 0 Please answer the remaining questions in this section only with respect to service accounts with domain administrator privileges. If you do not have any service accounts with domain administrator privileges, please skip the remaining questions in this section.",Funds Transfer and Social Engineering Controls; Password and Privileged Access Management,NA,NA,NA,NA
28,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,"21. Do you configure service accounts using the principle of least privilege? (I.e., have you removed domain administrator privileges from those service accounts that don’t require such privileges to function?)",Password and Privileged Access Management,NA,NA,NA,NA
29,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,22. Do you have specific monitoring rules in place for service accounts to alert your Security Operations Center (SOC) of any abnormal behavior?,Security Monitoring and Operations,NA,NA,NA,NA
30,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,23. Have you configured service accounts to deny interactive logins?,Password and Privileged Access Management,NA,NA,NA,NA
31,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,24. Do you require service account passwords to be ≥25 characters or to be randomly generated?,Password and Privileged Access Management,NA,NA,NA,NA
32,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,25. Do you rotate passwords for service accounts on a regular basis?,Password and Privileged Access Management,NA,NA,NA,NA
33,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,26. Do you manage passwords for service accounts with a PAM solution or password vault? No Yes Security Products & Solutions,Password and Privileged Access Management,NA,NA,NA,NA
34,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,27. What security solutions do you use to prevent or detect malicious activity on your network? Security solution Vendor,REVIEW_NEEDED,NA,NA,NA,NA
35,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,a. Endpoint Protection Platform (EPP),Endpoint and Network Protection,NA,NA,NA,NA
36,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,b. Endpoint Detection and Response (EDR),Endpoint and Network Protection,NA,NA,NA,NA
37,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,c. Managed Detection and Response (MDR),Endpoint and Network Protection,NA,NA,NA,NA
38,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,d. Network Detection and Response (NDR),Endpoint and Network Protection,NA,NA,NA,NA
39,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,e. Security Information and Event Management (SIEM),Security Monitoring and Operations,NA,NA,NA,NA
40,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,"28. a. Do you have a Security Operations Center (SOC)? No Yes, working hours only Yes,",Security Monitoring and Operations,NA,NA,NA,NA
41,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,"b. If “Yes” to a., is your SOC internal or managed by a third party?",Security Monitoring and Operations,NA,NA,NA,NA
42,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,"c. If “Yes” to a., does your SOC have the authority and ability to remediate security events (for example, by isolating and containing endpoints remotely)?",Incident Response and Business Continuity; Security Monitoring and Operations,NA,NA,NA,NA
43,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,"29. Do you use a protective DNS service (e.g., Quad9, OpenDNS or the public sector PDNS)?",Endpoint and Network Protection,NA,NA,NA,NA
44,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,30. Are host-based and network firewalls configured to disallow inbound connections by default?,Endpoint and Network Protection,NA,NA,NA,NA
45,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,"31. a. Do you use Remote Desktop Protocol (RDP), Virtual Network Computing (VNC), AnyDesk, TeamViewer, or other remote desktop software? Yes Yes, but internally only and not exposed to the internet",Endpoint and Network Protection,NA,NA,NA,NA
46,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,"b. If “Yes” to a., does access require MFA?",Multi-Factor Authentication,NA,NA,NA,NA
47,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,"32. Do you deny all Server Message Block (SMB) (i.e., Windows file sharing) inbound communications to servers (except where there is an identified business need)? No Yes Vulnerabilities & Scanning",Endpoint and Network Protection,NA,NA,NA,NA
48,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,34. What percentage of the enterprise is covered by scheduled vulnerability scans? ____%,Vulnerability Scanning and Testing,NA,NA,NA,NA
49,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,"35. In the past two years, how often have you conducted vulnerability scanning of the devices on your network?",Vulnerability Scanning and Testing,NA,NA,NA,NA
50,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,"36. In the past two years, what is the average time that your organization has taken to remediate Critical Common Vulnerabilities and Exposures (Critical CVEs) (CVSS version 3.1 Base Score 9.0-10.0) on your network? Unknown >2 weeks <2 weeks <1 week <48 hours",REVIEW_NEEDED,NA,NA,NA,NA
51,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,37. How often do you (or a third party on your behalf) conduct penetration testing on your network? Never/not regularly Annually 2-3 times per year Quarterly or more often Backups & Resilience,Backups and Recovery,NA,NA,NA,NA
52,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,38. Do you rely on a backup solution that is located on your corporate network?,Backups and Recovery,NA,NA,NA,NA
53,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,39. a. Do you rely on a cloud-based service as your backup location?,Backups and Recovery,NA,NA,NA,NA
54,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,"b. If “Yes” to a., is your cloud-based backup service a “syncing service”? (E.g., DropBox, OneDrive, SharePoint, Google Drive)",Backups and Recovery; Endpoint and Network Protection,NA,NA,NA,NA
55,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,"c. If “Yes” to a., have you determined how long it would take to restore all of your data from the cloud? No Yes, >1 week Yes, >48 hours but <1 week Yes, <48 hours",REVIEW_NEEDED,NA,NA,NA,NA
56,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,"40. Do you maintain any offline backups? No Yes, partial backups Yes, full backups",Backups and Recovery,NA,NA,NA,NA
57,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,"41. a. Are all of your backups encrypted? No Some backups are encrypted, some aren’t",Backups and Recovery; Encryption and Data Protection,NA,NA,NA,NA
58,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,"b. For your encrypted backups, do you maintain an offline backup of your decryption key(s)? No Yes (Skip this question if you do not have any encrypted backups.)",Backups and Recovery; Encryption and Data Protection,NA,NA,NA,NA
59,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,42. Are any o your backup solutions “immutable”? (Immutable backups cannot be altered or deleted.),Backups and Recovery,NA,NA,NA,NA
60,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,43. How frequently do you perform a test restoration from backups?,Backups and Recovery,NA,NA,NA,NA
61,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,44. Do you have the ability to test the integrity of backups prior to restoration to be confident that your backups are free from malware? No Yes Business Continuity & Planning,Backups and Recovery; Incident Response and Business Continuity,NA,NA,NA,NA
62,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,"45. a. Do you have a business continuity or disaster recovery plan, that includes responding to cybersecurity threats, that was created or updated within the past two years?",Incident Response and Business Continuity,NA,NA,NA,NA
63,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,"b. If “Yes” to a., have you engaged in any exercises to run through the plan (from start to finish) with your incident response team?",REVIEW_NEEDED,NA,NA,NA,NA
64,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,"46. a. Have you conducted, within the past two years, a cybersecurity incident tabletop exercise?",REVIEW_NEEDED,NA,NA,NA,NA
65,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,2,a) Creative Services Public Relations % Advertising % Graphic Design % Digital Marketing % Experiential Marketing % Branding % Production of Commercials and Music Videos % Production of Corporate Videos % Post Production % Market Research % Printing % Social Media Strategy % Direct Marketing % Sales Promotion % Photography/Videography % Media Buying % Animation % Marketing Consultancy %,Data Inventory and Sensitive Data Exposure; Media and Content Governance,NA,NA,NA,NA
66,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,2,a) How is content disseminated? TV % Radio % Web % Books % Magazines % Newspapers % Other (please specify) __________________________________________________________________________ % TOTAL:* %,REVIEW_NEEDED,NA,NA,NA,NA
67,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,2,b) What is the nature of the content that you publish/broadcast? News % Celebrity % Special Interest % B2B % Fiction % Investigative/Expose % Other (please specify) __________________________________________________________________________ % TOTAL:* % *TOTALS for 11) a) + 11 b) MUST EQUAL 100%,REVIEW_NEEDED,NA,NA,NA,NA
68,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,2,"c) If you do broadcasting, do you have a time delay to manage offending content?",REVIEW_NEEDED,NA,NA,NA,NA
69,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,3,"13) a) What procedures do you have in place to ensure that any photo, film clip, music or other content used by you does not breach any third party rights? If you have standard written procedures, please attach a copy. ____________________________________________________________________________________________________________________ ____________________________________________________________________________________________________________________",Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
70,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,3,"c) When creating content under contract, do you always obtain written client sign‐off before it is printed, aired or published?",Media and Content Governance,NA,NA,NA,NA
71,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,3,"d) If you are a publisher or author of content, please provide an overview of your editorial procedures and controls: ___________________________________________________________________________________________________________ _________ ____________________________________________________________________________________________________________________",Media and Content Governance,NA,NA,NA,NA
72,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,3,14) a) Please provide details of your takedown procedures in the event of a complaint related to third party material: ___________________________________________________________________________________________________________ _________ ____________________________________________________________________________________________________________________,Media and Content Governance,NA,NA,NA,NA
73,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,3,"b) Do you have any facility within your websites where any third party content may be published or otherwise made publicly accessible,",Media and Content Governance,NA,NA,NA,NA
74,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,3,"c) Do you subject all third party material to your standard checking procedures (as declared earlier in this application) prior to posting it on your Website? YES NO If you do not wish to include cyber coverage, please skip Question 15) below and go to Section 9. CLAIMS DECLARATION.",Media and Content Governance,NA,NA,NA,NA
75,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,3,8. PRIVACY,REVIEW_NEEDED,NA,NA,NA,NA
76,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,3,15) a) Do you collect or store personally identifiable information (PII)?,Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
77,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,3,"b) Please describe type and amount by completing the boxes below: NUMBER OF PEOPLE TYPE 0-5,000 5,001-25,000 > 25,000 PAYMENT CARD: PASSPORT/NATIONAL INSURANCE/OTHER GOVERNMENT ISSUED ID: OTHER (please specify): _______________________________________________________ Beazley Group Page 3",Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
78,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,4,"c) Do you store this PII at all, even if briefly and if so, please describe how you store securely, including whether encrypted? YES NO _________________________________________________________________________________________________________________",Data Inventory and Sensitive Data Exposure; Encryption and Data Protection,NA,NA,NA,NA
79,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,4,"d) Do you allow PII to be stored on any mobile devices, such as laptops, tablets or USB sticks?",Data Inventory and Sensitive Data Exposure; Encryption and Data Protection,NA,NA,NA,NA
80,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,4,"If YES, do you have automatic encryption of such data? YES NO If NO, please state approximately how many devices are likely to have PII on them: 0-25 26-50 51-100 > 100",Data Inventory and Sensitive Data Exposure; Encryption and Data Protection,NA,NA,NA,NA
81,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,2,"436 Walnut St. Philadelphia, PA 19106 Chubb Cyber Enterprise Risk Management Policy Number of Records Containing Protected Information:",Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
82,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,2,"3. Current Loss Information Within the past three years, has the Applicant had any actual or potential Incidents or Claims Yes No to which the Policy would apply; or is the Applicant aware of any fact, circumstance, or situation that could resonably be expected to give rise to an Incident or Claim to which the Policy would apply?",REVIEW_NEEDED,NA,NA,NA,NA
83,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,"436 Walnut St. Philadelphia, PA 19106 Chubb Cyber Enterprise Risk Management Policy",Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
84,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,4. Cyber and Media Controls,REVIEW_NEEDED,NA,NA,NA,NA
85,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,Which of the following IT security controls does the Applicant have in place?,REVIEW_NEEDED,NA,NA,NA,NA
86,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,1) Antivirus and Firewalls (Windows 7 or higher qualifies),Endpoint and Network Protection,NA,NA,NA,NA
87,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,2) Encryption of Sensitive Data,Encryption and Data Protection,NA,NA,NA,NA
88,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,3) Encryption of Mobile Computing Devices,Encryption and Data Protection,NA,NA,NA,NA
89,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,4) Critical Software Patching Procedures,Unsupported Software and Patch Management,NA,NA,NA,NA
90,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,5) Critical Data Backup and Recovery Procedures,Backups and Recovery,NA,NA,NA,NA
91,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,6) Formal Cyber Incident Response Plan,Incident Response and Business Continuity,NA,NA,NA,NA
92,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,Does the Applicant accept payment card (Credit/debit card) transactions?,Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
93,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,"If Yes, is the Applicant PCI compliant? (via assessment or self-attestation)",Compliance and Legal Review; Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
94,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,Does the Applicant deal with protected health information as defined by Yes No HIPAA?,Compliance and Legal Review; Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
95,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,"If Yes, is Applicant compliant with HIPAA and the HITECH Act?",Compliance and Legal Review,NA,NA,NA,NA
96,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,"Does the Applicant have operations or customers in California, or any Yes No Unknown responsibilities under the California Confidentiality of Medical Information Act? Has the Applicant obtained legal review of its use of trademarks, including Yes No Unknown domain names?",Compliance and Legal Review; Media and Content Governance,NA,NA,NA,NA
97,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,Does the Applicant currently purchase Cyber or Privacy Liability insurance?,REVIEW_NEEDED,NA,NA,NA,NA
98,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,Does the Applicant currently purchase Media Liability Insurance?,REVIEW_NEEDED,NA,NA,NA,NA
99,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,"Does the Applicant intend to purchase E&O and/or Media coverage on a Yes No separate and distinct policy? (e.g. with a separate set of limits, or with another carrier?) Retention Limit Commentary Cyber and Media Coverages $ $?",REVIEW_NEEDED,NA,NA,NA,NA
100,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,1,"1 Within the last 3 years has Named Insured suffered any cyber incidents resulting in a claim in excess of $25,000? NO YES (If Yes) please explain the cyber incidents and/or claims.",REVIEW_NEEDED,NA,NA,NA,NA
101,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,1,"3 Does Named Insured implement encryption on laptop computers, desktop computers, and other NO YES SOMETIMES portable media devices?",Encryption and Data Protection,NA,NA,NA,NA
102,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,1,"4 Does Named Insured collect, process, store, transmit, or have access to any Payment Card Information (PCI), Personally NO YES Identifiable Information (PII), or Protected Health Information (PHI) other than employees of Named Insured?",Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
103,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,1,"4a (If Yes) What is the estimated annual volume of payment card transactions (credit cards, debit cards, etc.)? NO RECORDS LESS THAN 100,000 100,000 – 500,000 500,000 – 1,000,000 OVER 1,000,000:",Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
104,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,1,"4b (If Yes) How many PII or PHI records does Named Insured collect, process, store, transmit, or have access to? NO RECORDS LESS THAN 100,000 100,000 – 500,000 500,000 – 1,000,000 OVER 1,000,000:",Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
105,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,2,5 Does Named Insured maintain at least weekly backups of all sensitive or otherwise critical data and all critical NO YES business systems offline or on a separate network?,Backups and Recovery,NA,NA,NA,NA
106,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,2,6 For which of the following services do you enforce Multi-Factor Authentication (MFA)?,Multi-Factor Authentication,NA,NA,NA,NA
107,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,2,Do you enforce multi-factor authentication (MFA) for email?,Multi-Factor Authentication,NA,NA,NA,NA
108,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,2,"6b Virtual Private Network (VPN), Remote Desktop Protocol (RDP), RDWeb, NO YES N/A: NO REMOTE ACCESS ALLOWED RD Gateway, or other remote access",Endpoint and Network Protection,NA,NA,NA,NA
109,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,2,Do you enforce multi-factor authentication (MFA) for network or cloud administration and other privileged user accounts?,Multi-Factor Authentication,NA,NA,NA,NA
110,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,2,"7 Does Named Insured require a secondary means of communication to validate the authenticity of funds transfers NO YES (ACH, wire, etc.) requests before processing a request in excess of $25,000?",Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
111,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,2,"8 Within the last 3 years has Named Insured been subject to any complaints concerning the content of its website, NO YES advertising materials, social media, or other publications?",Media and Content Governance,NA,NA,NA,NA
112,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,2,9 Does Named Insured enforce procedures to remove content (including third party content) that may infringe or violate any intellectual property or privacy right?,REVIEW_NEEDED,NA,NA,NA,NA
113,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,4,A. CUSTOMER SIGN OFF G. MILESTONES,REVIEW_NEEDED,NA,NA,NA,NA
114,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,4,E. EXCLUSION OF DAMAGES K. DATA/ PRIVATE INFORMATION RIGHT/ RESPONSIBILITIES,REVIEW_NEEDED,NA,NA,NA,NA
